person_ctry_code,year,B60L,H01M,F03D,H01L,B60L_RTA,H01M_RTA,F03D_RTA,H01L_RTA
AR,1998,0.0,7.0,2.0,1.13333333333,0.0,1.16754544907,4.22442504086,0.0328868971362
AR,2001,0.0833333333333,0.0,12.25,2.97380952381,0.0596959848132,0.0,8.74296265412,0.0401385846679
AR,2004,0.0,0.0,1.33333333333,1.73125,0.0,0.0,1.11687540545,0.0408965125064
AR,2007,1.45,3.43088023088,7.0,6.27262566138,1.51849962207,0.340682502874,4.73615732892,0.13786216964
AR,2010,0.0,0.0,1.375,7.43293650794,0.0,0.0,0.426202514472,0.160853722891
AT,1998,22.503968254,37.8948412698,12.0,139.064941969,1.97510127301,0.371726025382,1.49068533554,0.23732856702
AT,2001,26.7167989418,60.4256275338,10.5333333333,272.913322985,1.76633992631,0.394243684302,0.693828058654,0.339967295636
AT,2004,23.8681955165,68.0220141188,22.6,391.019361143,1.35940335971,0.346120359664,0.85676469674,0.418034266869
AT,2007,9.4323962149,104.709126984,38.1867424242,742.787532781,0.408708127698,0.430202929509,1.06901856033,0.675468183663
AT,2010,46.7128154253,167.838148148,113.106746032,791.436274175,1.35359412589,0.65520662892,1.45153264537,0.709106775868
AU,1998,1.0,41.2876509455,7.74285714286,35.2843137255,0.134560153004,0.620939460724,1.47466098228,0.0923209453307
AU,2001,6.29212454212,84.6261350492,6.51666666667,108.245344802,0.528134475244,0.700979675955,0.544965340418,0.171190230027
AU,2004,3.92711940837,121.405889185,28.1980880231,186.067673364,0.248151798047,0.68538087358,1.18600727538,0.220698364978
AU,2007,9.50833333333,48.0277296777,39.8071789322,181.882521368,0.468574820695,0.224421361433,1.26741062896,0.1881111628
AU,2010,10.4542328042,67.1907473545,30.8317460317,243.257433169,0.398952042516,0.345440444211,0.521089746252,0.287037019406
BE,1998,1.5,20.9451923077,11.6666666667,161.855072945,0.146566825073,0.228739615537,1.61348778371,0.307519622404
BE,2001,18.7916666667,17.3895502646,28.3857142857,263.859741861,1.42794098808,0.130402831557,2.14902245862,0.377781452828
BE,2004,10.2956349206,26.4201273264,29.4079365079,390.865190802,0.743638437481,0.170487486753,1.41383138802,0.529932505678
BE,2007,3.12222222222,40.005010545,9.72301587302,534.416722539,0.166892830874,0.202761663624,0.335781109903,0.599519015823
BE,2010,5.08333333333,50.0454605778,41.7026190476,519.099126749,0.222498359991,0.295106042265,0.808402108843,0.702541186184
BG,1998,0.25,16.4936507937,3.2,4.74126984127,0.26154354624,1.92856112451,4.7383643085,0.0964496749059
BG,2001,3.0,8.04063492063,8.0,7.95952380952,3.16369147056,0.836790853258,8.40541233954,0.158154842711
BG,2004,1.5,0.760084033613,7.56666666667,19.7326190476,1.49108184626,0.0675026372363,5.00655737767,0.368196642745
BG,2007,1.33333333333,5.84772727273,11.6357142857,14.7499669312,1.42830771075,0.593974416616,8.05299607598,0.331606582964
BG,2010,1.5,3.54672619048,9.97619047619,19.1826465201,1.15912083153,0.369232822261,3.4141929892,0.458341563776
BR,1998,4.5,22.8833333333,10.0,9.23958333333,0.465257470848,0.264431228106,1.4633739254,0.0185752780865
BR,2001,7.02777777778,18.6666666667,23.5,11.5206349206,0.568804293476,0.149095772497,1.89499851987,0.0175688687889
BR,2004,8.16666666667,27.0595238095,33.8214285714,28.0380952381,0.55339894213,0.163818351598,1.52549157767,0.0356637388096
BR,2007,9.25,48.4944444444,63.0119047619,27.6869808332,0.465196235261,0.231251220136,2.04738002251,0.0292226173561
BR,2010,21.5333333333,49.1174603175,77.1904761905,49.9744306418,0.690044984193,0.212049488443,1.0955084758,0.0495173347798
CA,1998,15.4484126984,354.047395151,20.5333333333,183.856927533,0.726802690428,1.86168706053,1.3673087451,0.168195649118
CA,2001,24.216005291,610.22530905,37.0452380952,293.723133703,0.763451368789,1.89855333919,1.16360996806,0.174477555396
CA,2004,52.2945796796,919.528939391,103.811544828,442.328051597,1.33391512114,2.09549113491,1.76255040004,0.211787766496
CA,2007,35.2570827321,657.455094897,106.531096681,583.128648409,0.680961638575,1.20403733356,1.32933385338,0.236368556636
CA,2010,45.0511294261,415.568565684,153.205079349,627.216399849,0.615730785067,0.765179030847,0.92735118336,0.265061014663
CN,1998,55.375,447.796897547,87.6666666667,469.066222034,0.7109464267,0.642564650955,1.5930598822,0.117100673321
CN,2001,269.05952381,1067.69007937,138.805555556,1617.78703677,1.88025155793,0.736319847649,0.966430447458,0.213015633744
CN,2004,423.367694805,2460.88458786,316.647619048,6168.77121371,1.54796376205,0.803865197841,0.77062602575,0.423376361305
CN,2007,716.948941799,4544.28242988,1089.54261905,9592.24934624,1.29775223484,0.779949453975,1.27417527963,0.364395554066
CN,2010,383.852012987,2428.96212478,956.307595599,4464.79898969,0.815971019932,0.695611640505,0.900314820031,0.293464849186
CY,1998,0.0,0.0555555555556,0.0,0.5,0.0,0.0805500460047,0.0,0.126124014122
CY,2001,0.0,0.766666666667,0.0,0.6,0.0,0.350649747781,0.0,0.0523946601431
CY,2004,0.75,0.0,0.0,7.59259259259,2.9353234251,0.0,0.0,0.55778863713
CY,2007,0.0,0.75,8.5,6.60257936508,0.0,0.166598235376,12.8650615471,0.324619220654
CY,2010,0.0,0.7,9.04166666667,4.42222222222,0.0,0.193619155354,8.2214698615,0.280736527674
CZ,1998,4.83333333333,4.8375,13.0833333333,25.2742424242,1.43808959064,0.160869157245,5.50975226717,0.146224261855
CZ,2001,1.0,4.17665834166,9.0,12.2686813187,0.253261390688,0.104388257859,2.27095047953,0.0585449463699
CZ,2004,9.72777777778,9.6487293956,10.75,13.1300444925,2.28636890685,0.202605717939,1.68176573688,0.0579273593055
CZ,2007,2.70238095238,11.3173280423,16.6666666667,22.7668374218,0.485831969297,0.192921668145,1.93584090566,0.0858996268352
CZ,2010,9.15436507937,25.1697222222,15.2714285714,48.6351190476,0.85092548647,0.315193252653,0.628678850302,0.139783706733
DE,1998,378.263893536,1448.19631837,336.667857143,4784.322021,1.74546068073,0.746887573898,2.19882824491,0.429277059541
DE,2001,449.678379532,2639.69138547,694.447835498,7997.29031352,1.53240830199,0.887726850212,2.35780717434,0.513496975809
DE,2004,417.010376201,2743.88128044,1249.83366883,9260.99061863,1.32080030406,0.776433960237,2.63491670132,0.550595442269
DE,2007,493.15764097,2744.15088395,1131.40585761,9871.64677854,1.25503225073,0.662177915377,1.86023982268,0.527239305871
DE,2010,863.798819479,3931.06315196,1847.55123136,9935.95734525,1.63832803662,1.00446188998,1.55192464128,0.582694933255
DK,1998,1.25,49.1167443667,46.8484848485,16.7476190476,0.13628274591,0.598512256347,7.22937716224,0.0355047150652
DK,2001,1.66666666667,91.4500555001,153.146428571,42.0515086765,0.135823944366,0.73547052737,12.4345659314,0.0645701372797
DK,2004,1.16666666667,55.6365440115,274.147142857,51.0403108466,0.0865453214549,0.368727779173,13.536453676,0.0710714187976
DK,2007,0.5,164.260912698,392.175569986,85.9544083694,0.030273565529,0.943029735179,15.3410646682,0.109222164175
DK,2010,5.2003968254,191.210793651,959.283064898,64.1509401709,0.232985526252,1.15409098285,19.0337831434,0.0888666378334
EE,1998,0.333333333333,0.0,1.0,1.0,2.01124959589,0.0,8.54007520718,0.1173246643
EE,2001,0.0,0.163636363636,0.0,1.87777777778,0.0,0.0987462236271,0.0,0.21634840549
EE,2004,2.33333333333,1.65619834711,1.0,6.05242424242,8.03794658342,0.509717546842,2.2929400605,0.391365520564
EE,2007,0.5,8.0,2.66666666667,8.86618357488,1.14056936095,1.73037116518,3.93008391593,0.424460682913
EE,2010,0.5,1.66666666667,7.83333333333,6.21014492754,0.430309071239,0.193238844862,2.98567812611,0.165255338758
ES,1998,12.5952380952,41.3166666667,27.7666666667,32.3474867725,1.05380509877,0.386359685351,3.28815386269,0.0526255385812
ES,2001,16.8928571429,40.2463203463,90.9083333333,46.9433315751,1.03113291565,0.242432830795,5.52855206864,0.0539893363343
ES,2004,14.6964285714,31.7031746032,88.5103896104,55.5755183244,0.772031414452,0.14879036999,3.09486556075,0.0548013875741
ES,2007,7.52380952381,67.6204834055,272.181442577,140.466018205,0.280736559075,0.239241786765,6.5614690793,0.109997168188
ES,2010,41.4382936508,44.3815656566,370.971358826,215.200450832,1.02470705799,0.147854881898,4.0627876761,0.164544854818
FI,1998,2.1,16.6416666667,20.8333333333,126.779599567,0.153638922361,0.136079087951,2.15732308566,0.180357176995
FI,2001,1.5,31.9839133089,14.5307692308,95.2338021701,0.0732691880179,0.154175523225,0.70715544955,0.0876483576568
FI,2004,3.14285714286,27.9137057387,11.7253968254,189.137038055,0.153018983198,0.121419118016,0.379990371385,0.172855070457
FI,2007,5.48849206349,52.6176948052,32.6902319902,228.593817906,0.238813523025,0.217087730452,0.918978333437,0.208746599128
FI,2010,11.8672619048,94.1993746994,31.9944444444,233.480587336,0.41261195624,0.441239605005,0.492665029755,0.251006706031
FR,1998,79.1038059163,433.500500361,48.2583333333,1286.21202207,1.04356161496,0.639179641041,0.901088623413,0.329940309337
FR,2001,143.566100566,427.167068335,66.6388888889,1893.78569012,1.45866262949,0.428306265907,0.674569757016,0.362540326978
FR,2004,146.25009374,713.625086468,87.6821428571,2340.8738058,1.39645274901,0.608764204357,0.557269942005,0.419558924116
FR,2007,169.37281746,972.2573851,100.811111111,2617.68707929,1.28211121736,0.697847977913,0.493028226731,0.415861551976
FR,2010,258.717756345,1001.07415088,197.526424964,3157.56653389,1.4059193984,0.732884641079,0.475384778902,0.53055445246
GB,1998,30.9813492063,276.850357906,17.3428571429,557.075612883,0.589999131182,0.589262423934,0.467461838316,0.206284828145
GB,2001,24.1353174603,520.826839604,36.0702380952,1063.30840112,0.34033016055,0.72476045877,0.506748648809,0.28250699634
GB,2004,15.608958634,501.720587817,108.96007215,1269.40032723,0.209160978071,0.600644581635,0.971848319562,0.31929359682
GB,2007,25.7340094123,588.287744473,174.603099678,1436.39105971,0.292059409194,0.633069125506,1.28025679905,0.342125537643
GB,2010,53.4672438672,460.627063614,322.163967236,1441.3920898,0.460662359934,0.534662306193,1.22929970356,0.38399036827
GR,1998,0.0,0.342857142857,1.0,3.88805916306,0.0,0.0915726838791,3.38231925969,0.180665442185
GR,2001,0.0,8.25714285714,0.0,9.9730952381,0.0,1.50801772538,0.0,0.347756648724
GR,2004,0.0,1.45751730568,5.0,9.24628427128,0.0,0.174132118368,4.45051872209,0.232096379968
GR,2007,0.0714285714286,7.92441447441,4.75,18.4392085538,0.0659925607238,0.694205075785,2.83529348998,0.357531528379
GR,2010,1.82063492063,11.8826388889,31.8166666667,18.1783730159,0.580059300389,0.510032218559,4.48941843665,0.179080295745
HR,1998,0.0,0.0,2.0,0.0,0.0,0.0,7.00425786747,0.0
HR,2001,1.0,0.0,10.25,3.46203703704,1.41194892965,0.0,14.4191288008,0.092102885753
HR,2004,0.0,0.133333333333,8.75,2.83333333333,0.0,0.0114750341477,5.61046384005,0.0512328933331
HR,2007,0.0,2.33333333333,5.0,7.06904761905,0.0,0.229915057595,3.35694667819,0.154171111615
HR,2010,1.0,1.0,11.6666666667,3.81666666667,0.848323597585,0.114286973961,4.3832295894,0.100112670408
HU,1998,1.33333333333,13.1666666667,8.0,1.93055555556,0.627343138201,0.69239650944,5.32759095826,0.017662444695
HU,2001,1.5,8.70833333333,3.5,8.18333333333,0.50371993032,0.288593557454,1.17101399985,0.0517786420919
HU,2004,4.475,11.75,12.8333333333,10.9406746032,1.37351361912,0.32220086643,2.62182546164,0.063033134009
HU,2007,5.5,6.71180555556,17.0,11.5468420468,1.51877314632,0.175738604025,3.03291707605,0.0669179299369
HU,2010,3.875,10.8928571429,34.1666666667,15.1371031746,0.753311781915,0.285285728882,2.94165370329,0.0909890415437
ID,1998,0.0,2.0,0.0,0.858333333333,0.0,1.65029362546,0.0,0.123218718404
ID,2001,0.0,0.933333333333,0.0,5.45476190476,0.0,0.476291479021,0.0,0.531472333698
ID,2004,0.0,0.35,0.0,12.8114718615,0.0,0.268674075389,0.0,2.06629682168
ID,2007,0.0,0.244412878788,0.0,31.92562981,0.0,0.116435446206,0.0,3.36629417731
ID,2010,0.0,0.0763888888889,1.0,27.1782257095,0.0,0.0305558923438,1.31496887682,2.49513448939
IE,1998,0.0,1.275,2.16666666667,21.9765843812,0.0,0.066840727741,1.43841745376,0.200438277603
IE,2001,2.07407407407,3.59027777778,3.83333333333,42.6965325311,0.610235330383,0.104244907422,1.12368824632,0.236694535311
IE,2004,0.0,5.70279839208,1.53571428571,103.19915202,0.0,0.12969850931,0.260215315908,0.49312731208
IE,2007,0.0833333333333,16.6984126984,2.25,91.6923643164,0.0145137628178,0.275761761019,0.253177542769,0.335153293604
IE,2010,2.16666666667,18.7182539683,32.4722222222,110.170806878,0.24684347106,0.287296320767,1.63842827799,0.38809615416
IL,1998,0.658333333333,76.0251881932,1.83333333333,110.921726409,0.115253287403,1.48757062506,0.454279754048,0.377594963238
IL,2001,1.0,101.621282803,2.0,207.576761312,0.0937021401193,0.939697117629,0.186713479837,0.366480424004
IL,2004,0.4,85.6877888798,7.86904761905,228.775874372,0.0305238477851,0.584180600858,0.399692347044,0.327698445075
IL,2007,3.60555555556,99.6700735576,12.0119047619,316.03411057,0.175113992363,0.458998242195,0.376913708025,0.322130369228
IL,2010,14.7135281385,54.2455636956,34.3345238095,373.112836251,0.510699525314,0.25365769553,0.527795326405,0.400435052197
IN,1998,0.306666666667,2.9537037037,0.2,32.9509594527,0.304180905568,0.32744994125,0.280782374371,0.635529239266
IN,2001,0.0,3.14196248196,2.0,88.0633572228,0.0,0.0999302269115,0.64219708506,0.534761268018
IN,2004,0.593055555556,30.9473384948,0.775,119.539755771,0.083222497751,0.38798736215,0.0723888107143,0.314878204739
IN,2007,1.4755952381,28.5337564442,9.44880952381,246.644435603,0.125742777762,0.230553829744,0.520204726665,0.441099108192
IN,2010,21.1444444444,60.2553714639,50.7166269841,359.668643266,0.895145126067,0.343659320168,0.95089686677,0.470807112701
IT,1998,32.1166666667,177.739464286,13.75,589.956919446,1.09946756895,0.680061892166,0.666237583196,0.392712164576
IT,2001,32.2452380952,181.261932512,7.5,656.712062977,0.805184598836,0.446673501276,0.186589543416,0.308977891047
